id,anunciante,titulo,municipio,zona,precio_eur,precio_anterior_eur,descuento_pct,superficie_m2,tipo_suelo,referencia_catastral,notas
770,Inmobiliaria SOMOPLAYA / INMOLOREDO,"Terreno en Ribamontán al Monte",Ribamontán al Monte,Cubas,300000,10000,Urbanizable,,
771,,"Terreno en Loredo, Ribamontán al Mar",Ribamontán al Mar,Loredo,500000,13500,Urbanizable,,
772,,"Terreno en Calle Herrería, Somo",Ribamontán al Mar,Somo,180000,500,"Urbano (solar)",,
773,,"Terreno en Galizano, Ribamontán al Mar",Ribamontán al Mar,Galizano,2350000,29673,Urbanizable,,
774,,"Terreno en Calle Solasierra, Bareyo",Bareyo,,90000,1262,"Urbano (solar)",,
775,,"Terreno en Calle Solasierra, Bareyo",Bareyo,,76000,832,"Urbano (solar)",,
776,Oyambre Servicios Inmobiliarios,"Terreno en Argomilla de Cayón",Santa María de Cayón,Argomilla,60000,35000,"No urbanizable",,
777,Activa Norte Gestión Inmobiliaria,"Terreno en Santa María de Cayón",Santa María de Cayón,,20000,5610,,,
778,Activa Norte Gestión Inmobiliaria,"Terreno en Barrio Vernejo, Cabezón de la Sal",Cabezón de la Sal,Vernejo,235000,1341,,,"Edificación existente"
779,,"Terreno en Barrio Villanueva de la Peña, Mazcuerras",Mazcuerras,Villanueva,160000,1800,Urbanizable,,
780,,"Terreno en Alameda Barrio La, Santa María de Cayón",Santa María de Cayón,,50000,2500,"Urbano (solar)",,
781,,"Terreno en Barrio Gajano, Marina de Cudeyo",Marina de Cudeyo,Gajano,120000,3834,Urbanizable,,
782,Inmobiliaria Cobo Mantecón,"Terreno en Villaescusa",Villaescusa,Obregón,43500,2897,Urbanizable,,"Precio anterior 49000"
783,,"Terreno en Barrio Valles, Reocín",Reocín,Valles,79000,2058,"Urbano (solar)",,
784,Rentas y Capitales Inmobiliaria,"Terreno en Barrio Cabrojo, Cabezón de la Sal",Cabezón de la Sal,Cabrojo,100000,1014,Urbanizable,,
785,DCS inmuebles,"Terreno en Campuzano, Torrelavega",Torrelavega,Campuzano,2000000,9298,Urbanizable,,"Centro mayores"
786,,"Terreno en Camino San Pedruco, Bareyo",Bareyo,Ajo,24000,3766,,,"Rústico sin edificar"
787,,"Terreno en Castanedo, Ribamontán al Mar",Ribamontán al Mar,Castanedo,395000,3150,"Urbano (solar)",,
788,,"Terreno en Barrio Helguera, Reocín",Reocín,Helguera,50000,561,"Urbano (solar)",,
789,Gestión Inmobiliaria Val de Cella,"Terreno en CA-425, Ribamontán al Monte",Ribamontán al Monte,,23000,12983,,,
790,Oyambre Servicios Inmobiliarios,"Terreno en Reocín",Reocín,,158000,6486,"Urbano (solar)",,
791,Valliance Real Estate,"Terreno en Barrio Elechino, Entrambasaguas",Entrambasaguas,Elechino,1950000,40930,"Urbano (solar)",,
792,,"Terreno en Calle la Industria, El Astillero",El Astillero,,560800,4363,"Urbano (solar)",3457409VP3035N0001HO,"5 parcelas"
793,,"Terreno en El Cierro, Ribamontán al Monte",Ribamontán al Monte,,250000,7500,,,
794,Gestión Inmobiliaria Val de Cella,"Terreno en CA-455, Ribamontán al Monte",Ribamontán al Monte,Omoño,20000,9967,"No urbanizable",,
795,Gestion inmobiliaria gumar,"Terreno en Udías",Udías,,190000,1909,"Urbano (solar)",,
796,Gestión Inmobiliaria Val de Cella,"Terreno en Barrio Aguero, Marina de Cudeyo",Marina de Cudeyo,Agüero,45000,19215,"No urbanizable",,
797,Oyambre Servicios Inmobiliarios,"Terreno en Los Corrales de Buelna",Los Corrales de Buelna,,44500,1012,"Urbano (solar)",,
798,Gestion inmobiliaria gumar,"Terreno en Ruiloba",Ruiloba,,400000,1424,"Urbano (solar)",,
799,Oyambre Servicios Inmobiliarios,"Terreno en Alfoz de Lloredo",Alfoz de Lloredo,Oreña,99000,4813,Urbanizable,,
800,compracasa-online,"Terreno en Barrio San Roque, Alfoz de Lloredo",Alfoz de Lloredo,Cóbreces,80000,159,"Urbano (solar)",,
801,Esparta Inmobiliaria,"Terreno en Barrio Caranceja, Reocín",Reocín,Caranceja,159000,6636,Urbanizable,5591054VN0959S0001UA,
802,,"Terreno en Carretera Pedrosa, Marina de Cudeyo",Marina de Cudeyo,Pontejos,150000,3300,"Urbano (solar)",,
803,,"Terreno en Diseminado Cóbreces, Alfoz de Lloredo",Alfoz de Lloredo,Cóbreces,220000,1993,"Urbano (solar)",,
804,,"Terreno en Caborredondo, Alfoz de Lloredo",Alfoz de Lloredo,Caborredondo,130000,27104,"No urbanizable",,
805,Gestion inmobiliaria gumar,"Terreno en Alfoz de Lloredo",Alfoz de Lloredo,Fresnedo,170000,1098,"Urbano (solar)",,
806,Inmobiliaria Vacaciones,"Terreno en Calle la Callada, Somo",Ribamontán al Mar,Somo,260000,547,"Urbano (solar)",,
807,,"Terreno en Barrio Pontejos, Marina de Cudeyo",Marina de Cudeyo,Pontejos,60000,598,"Urbano (solar)",,
808,López Alonso Inmobiliaria,"Terreno en Somo",Ribamontán al Mar,Somo,780000,3533,"Urbano (solar)",,"Vistas al mar"
809,Gestion inmobiliaria gumar,"Terreno en Alfoz de Lloredo",Alfoz de Lloredo,Fresnedo,150000,1068,"Urbano (solar)",,
810,Bankcasas.com,"Terreno en Galizano, Ribamontán al Mar",Ribamontán al Mar,Galizano,371000,3000,Urbanizable,,
811,Bankcasas.com,"Terreno en Reocín",Reocín,,158000,6486,Urbanizable,,
812,EC Inmobiliaria,"Terreno en Bareyo",Bareyo,Güemes,375000,4882,"Urbano (solar)",,
813,Inmobiliaria Cobo Mantecón,"Terreno en Solares",Medio Cudeyo,Solares,250000,600,"Urbano (solar)",,
814,Bankcasas.com,"Terreno en Alfoz de Lloredo",Alfoz de Lloredo,Oreña,165000,4813,"No urbanizable",,
815,Inmobiliarias San Fernando,"Terreno en Mazcuerras",Mazcuerras,,22000,9324,"No urbanizable",,
816,,"Terreno en Entrambasaguas",Entrambasaguas,,28000,5696,"No urbanizable",,
817,Inmobiliarias San Fernando,"Terreno en Cartes",Cartes,,109000,88837,"No urbanizable",,
818,Inmobiliarias San Fernando,"Terreno en Los Corrales de Buelna",Los Corrales de Buelna,Somahoz,125000,4000,"Urbano (solar)",,
819,,"Terreno en Castanedo, Ribamontán al Mar",Ribamontán al Mar,Castanedo,700000,9275,Urbanizable,,
820,Lamadrid Rodríguez,"Terreno en Barrio Santibáñez, Cabezón de la Sal",Cabezón de la Sal,Santibáñez,160000,999,"Urbano (solar)",,
821,Lamadrid Rodríguez,"Terreno en Barrio Santibáñez, Cabezón de la Sal",Cabezón de la Sal,Santibáñez,120000,839,"Urbano (solar)",,
822,Inmobiliaria Vacaciones,"Terreno en Suesa, Ribamontán al Mar",Ribamontán al Mar,Suesa,465000,4772,"Urbano (solar)",,
823,Inmobiliaria Cobo Mantecón,"Terreno en Ribamontán al Monte",Ribamontán al Monte,Anero,73000,2500,Urbanizable,,
824,Inmobiliaria SOMOPLAYA / INMOLOREDO,"Terreno en Ribamontán al Monte",Ribamontán al Monte,Villaverde de Pontones,235000,1365,"Urbano (solar)",,
825,Inmobiliaria SOMOPLAYA / INMOLOREDO,"Terreno en Somo",Ribamontán al Mar,Somo,395000,1520,"Urbano (solar)",,
826,Inmobiliaria SOMOPLAYA / INMOLOREDO,"Terreno en Somo",Ribamontán al Mar,Somo,280000,2115,"Urbano (solar)",,"En reparcelación"
827,Inmobiliaria SOMOPLAYA / INMOLOREDO,"Terreno en Marina de Cudeyo",Marina de Cudeyo,Elechas,120000,3060,"Urbano (solar)",,
828,Inmobiliarias San Fernando,"Terreno en Puente Viesgo",Puente Viesgo,,80000,38827,"No urbanizable",,
829,,"Terreno en Calle la Callada, Somo",Ribamontán al Mar,Somo,420000,1527,"Urbano (solar)",,"Vistas al mar"
830,Inmobiliarias San Fernando,"Terreno en Puente Viesgo",Puente Viesgo,,150000,1429,"Urbano (solar)",,
831,Inmobiliarias San Fernando,"Terreno en Cabezón de la Sal",Cabezón de la Sal,Periedo,120000,1218,"Urbano (solar)",,
832,Inmobiliarias San Fernando,"Terreno en Puente Viesgo",Puente Viesgo,,65000,21328,"No urbanizable",,
833,Inmobiliaria SOMOPLAYA / INMOLOREDO,"Terreno en Carriazo, Ribamontán al Mar",Ribamontán al Mar,Carriazo,260000,45684,"Urbano (solar)",,
834,Inmobiliaria SOMOPLAYA / INMOLOREDO,"Terreno en Suesa, Ribamontán al Mar",Ribamontán al Mar,Suesa,721000,4200,"Urbano (solar)",,
835,Inmobiliaria SOMOPLAYA / INMOLOREDO,"Terreno en Ribamontán al Monte",Ribamontán al Monte,,180000,1000,"Urbano (solar)",,
836,Inmobiliaria Vacaciones,"Terreno en Las Salgas, Somo",Ribamontán al Mar,Somo,600000,5022,"Urbano (solar)",,
837,Inmobiliaria SOMOPLAYA / INMOLOREDO,"Terreno en Ribamontán al Monte",Ribamontán al Monte,Cubas,210000,1900,"Urbano (solar)",,
838,Inmobiliaria SOMOPLAYA / INMOLOREDO,"Terreno en Loredo, Ribamontán al Mar",Ribamontán al Mar,Loredo,1500000,4700,"Urbano (solar)",,"Vistas al mar"
839,Inmobiliarias San Fernando,"Terreno en Tanos, Torrelavega",Torrelavega,Tanos,19500,7764,"No urbanizable",,
840,Inmobiliaria SOMOPLAYA / INMOLOREDO,"Terreno en Loredo, Ribamontán al Mar",Ribamontán al Mar,Loredo,1500000,4700,"Urbano (solar)",,"Vistas al mar"
841,Inmobiliaria SOMOPLAYA / INMOLOREDO,"Terreno en Bareyo",Bareyo,,250000,18857,"Urbano (solar)",,
842,Inmobiliaria SOMOPLAYA / INMOLOREDO,"Terreno en Ribamontán al Monte",Ribamontán al Monte,Omoño,55000,7700,"No urbanizable",,
843,cadacasa,"Terreno en Entrambasaguas",Entrambasaguas,,137000,40000,Urbanizable,,
844,Inmobiliaria SOMOPLAYA / INMOLOREDO,"Terreno en Ribamontán al Monte",Ribamontán al Monte,Omoño,75000,5200,"Urbano (solar)",,
845,Inmobiliaria SOMOPLAYA / INMOLOREDO,"Terreno en Ribamontán al Monte",Ribamontán al Monte,Omoño,95000,9300,"Urbano (solar)",,
846,Inmobiliaria SOMOPLAYA / INMOLOREDO,"Terreno en Loredo, Ribamontán al Mar",Ribamontán al Mar,Loredo,1000000,5190,"Urbano (solar)",,
847,Inmobiliarias San Fernando,"Terreno en Puente San Miguel",Reocín,Valles,65000,3328,"No urbanizable",,
848,Inmobiliarias San Fernando,"Terreno en Ribamontán al Monte",Ribamontán al Monte,Liermo,180000,33501,"No urbanizable",,
849,Aliseda Inmobiliaria,"Terreno en Barrio Tanos, Tanos, Torrelavega",Torrelavega,Tanos,235000,258500,9,17406,Urbanizable,,"Uso residencial protegido"
850,Inmobiliaria Blanco,"Terreno en Barrio Ontoria, 103, Cabezón de la Sal",Cabezón de la Sal,Ontoria,340000,,,3344,"Urbano (solar)",,
851,,"Terreno en Polígono Industrial Guarnizo, 73, Guarnizo",Astillero,Guarnizo,495000,,,2332,"Urbano (solar)",,
852,Inmobiliaria Vacaciones,"Terreno en Barrio Zuñeda, Castanedo, Ribamontán al Mar",Ribamontán al Mar,Castanedo,75000,,,13265,"No urbanizable",,
853,Inmobiliaria Blanco,"Terreno en Barrio Vernejo, 124, Cabezón de la Sal",Cabezón de la Sal,Vernejo,550000,,,2875,"Urbano (solar)",,
854,,"Terreno en Diseminado Galizano, Carriazo, Ribamontán al Mar",Ribamontán al Mar,Carriazo,790000,,,77500,"No urbanizable",,"Vistas al mar"
855,Inmobiliaria Montaña,"Terreno en Calle Juncara, 1, Guarnizo",Astillero,Guarnizo,36000,,,1,"No urbanizable",,"Finca rústica agraria"
856,compracasa-online,"Terreno en Calle Prosperidad, El Astillero",Astillero,,210000,,,1600,"Urbano (solar)",,
857,,"Terreno en Barrio Concha, 1, Ruiloba",Ruiloba,,450000,,,1615,"Urbano (solar)",,
858,Inmoreco Torrelavega S.L,"Terreno en Puente Viesgo",Puente Viesgo,,65000,,,11421,Urbanizable,,
859,,"Terreno en Barrio Helguera, Reocín",Reocín,Helguera,325000,,,5340,"Urbano (solar)",,
860,Gestion inmobiliaria gumar,"Terreno en Barrio Viallan, Alfoz de Lloredo",Alfoz de Lloredo,Oreña,100000,,,1354,"Urbano (solar)",,
861,Inmobiliaria Cobo Mantecón,"Terreno en Castañeda",Castañeda,,60000,,,2481,Urbanizable,,
862,Gestion inmobiliaria gumar,"Terreno en Barrio la Molina, Comillas",Comillas,La Molina,350000,,,2807,"Urbano (solar)",,
863,Lamadrid Rodríguez,"Terreno en Calle Las Ventas, 60, Cabezón de la Sal",Cabezón de la Sal,,600000,,,2091,"Urbano (solar)",,
864,Lamadrid Rodríguez,"Terreno en Barrio Bustablado, 41, Cabezón de la Sal",Cabezón de la Sal,Bustablado,90000,,,2296,Urbanizable,,
865,,"Terreno en CA-141, Marina de Cudeyo",Marina de Cudeyo,Gajano,1500,,,2459,Urbanizable,,"Proindiviso 6,96%"
866,compracasa-online,"Terreno en Quintana, Alfoz de Lloredo",Alfoz de Lloredo,Cóbreces,200000,,,1993,"Urbano (solar)",,
867,Esparta Inmobiliaria,"Terreno en Tanos, Torrelavega",Torrelavega,Tanos,258500,,,17405,"Urbano (solar)",,
868,,"Terreno en Calle Las Presillas, s/n, Puente Viesgo",Puente Viesgo,,80000,,,1857,"Urbano (solar)",,
869,Maria Quintana,"Terreno en Vernejo, s/n, Cabezón de la Sal",Cabezón de la Sal,Vernejo,295000,,,3600,"Urbano (solar)",,
870,Gestion inmobiliaria gumar,"Terreno en Barrio Concha, Ruiloba",Ruiloba,,240000,,,898,"Urbano (solar)",,
871,Activa Norte Gestión Inmobiliaria,"Terreno en Barrio Concha, 36, Ruiloba",Ruiloba,,450000,,,1630,"Urbano (solar)",,
872,,"Terreno en Bareyo",Bareyo,,130000,,,1253,"Urbano (solar)",,
873,Inmoreco Torrelavega S.L,"Terreno en Reocín",Reocín,Valles,90000,,,400,"Urbano (solar)",,
874,,"Terreno en Barrio Golbardo, 15 A, Reocín",Reocín,Golbardo,70000,,,7310,Urbanizable,,
875,Esparta Inmobiliaria,"Terreno en Reocín",Reocín,,130000,,,5325,"Urbano (solar)",,
876,,"Terreno en Los Tocios, 93, Los Corrales de Buelna",Los Corrales de Buelna,,55000,65000,15,6308,"No urbanizable",,
877,Inmobiliaria Cobo Mantecón,"Terreno en Penagos",Penagos,,55000,,,2397,Urbanizable,,
878,INMOBILIARIA ALISAL,"Terreno en Barrio Puente Viesgo, Puente Viesgo",Puente Viesgo,,79500,,,14403,,,
879,,"Terreno en El Alta, 1, Penagos",Penagos,,80000,,,3115,Urbanizable,,
880,,"Terreno en Urb. Club de Campo Nueva Cantabria, Ribamontán al Monte",Ribamontán al Monte,,177500,,,1128,"Urbano (solar)",,
881,Esparta Inmobiliaria,"Terreno en Cabezón de la Sal",Cabezón de la Sal,,254100,,,2613,"Urbano (solar)",,
882,Inmoreco Torrelavega S.L,"Terreno en Sierrapando, Torrelavega",Torrelavega,Sierrapando,58000,,,12893,"No urbanizable",,
883,Esparta Inmobiliaria,"Terreno en El Astillero",Astillero,,560800,,,4363,"Urbano (solar)",,
884,,"Terreno en Diseminado Hijas, Puente Viesgo",Puente Viesgo,,15000,,,5000,"No urbanizable",39056A4100MZ,
885,,"Terreno en Reocín",Reocín,Veguilla,38300,,,2945,"Urbano (solar)",,
886,,"Terreno en Poblado Riocorvo, Cartes",Cartes,Riocorvo,270000,,,3343,"Urbano (solar)",,
887,,"Terreno en Guarnizo",Astillero,Guarnizo,85000,,,920,"Urbano (solar)",,
888,PYSO,"Terreno en Hornedo, Entrambasaguas",Entrambasaguas,Hornedo,45000,,,1896,"No urbanizable",,
889,EC Inmobiliaria,"Terreno en Calle Mies del Corro, Medio Cudeyo",Medio Cudeyo,Solares,430000,,,10500,"No urbanizable",,
890,,"Terreno en Barrio el Sedillo, Entrambasaguas",Entrambasaguas,,999000,,,18837,"Urbano (solar)",,
891,NORSUR 2000,"Terreno en Barrio Gandarilla, Comillas",Comillas,Gandarilla,1410000,,,63642,"No urbanizable",,
892,,"Terreno en Barrio Rucabao, Marina de Cudeyo",Marina de Cudeyo,Rubayo,132000,,,2122,Urbanizable,,
893,,"Terreno en Diseminado Sta Maria, Santa María de Cayón",Santa María de Cayón,,240000,,,40000,"No urbanizable",,
894,,"Terreno en Barrio Viérnoles, Tanos, Torrelavega",Torrelavega,Tanos,51000,59000,14,630,"Urbano (solar)",,
895,,"Terreno en Calle Esles, Santa María de Cayón",Santa María de Cayón,,70000,,,16193,"No urbanizable",,
896,,"Terreno en Barrio Socabarga, Medio Cudeyo",Medio Cudeyo,Liaño,145000,,,4865,"Urbano (solar)",,
897,RE/MAX Ability,"Terreno en Calle Las Viñas, Cartes",Cartes,,850500,,,3147,"Urbano (solar)",,
898,Activa Norte Gestión Inmobiliaria,"Terreno en Puente Viesgo",Puente Viesgo,,79800,,,16270,"No urbanizable",,
899,,"Terreno en Barrio Linderrio, Galizano",Ribamontán al Mar,Galizano,790000,,,75511,"No urbanizable",,
900,,"Terreno en Hoyo Gómez, Duález, Torrelavega",Torrelavega,Dualez,97000,,,5100,Urbanizable,,
901,BEST HOUSE TORRELAVEGA,"Terreno en Calderón de la Barca, Torrelavega",Torrelavega,,175000,,,354,"Urbano (solar)",,
902,,"Terreno en Puente San Miguel",Reocín,,670000,,,1218,"Urbano (solar)",,
903,,"Terreno en Ontoria, Cabezón de la Sal",Cabezón de la Sal,Ontoria,155000,,,11691,"No urbanizable",,
904,,"Terreno en Calle Virgen del Campo, Cabezón de la Sal",Cabezón de la Sal,,190000,,,146,"Urbano (solar)",,
905,,"Terreno en Calle Pumarijo, Penagos",Penagos,Sobarzo,190000,,,3143,"Urbano (solar)",,
906,,"Terreno en Pumalverde, Udías",Udías,,127500,,,3980,Urbanizable,,
907,,"Terreno en Avenida Oviedo, Solares",Medio Cudeyo,Solares,990000,,,2600,"Urbano (solar)",,
908,,"Terreno en Lloredo, Alfoz de Lloredo",Alfoz de Lloredo,Rudagüera,50000,,,1000,"Urbano (solar)",,
909,,"Terreno en Villanueva de la Peña, Mazcuerras",Mazcuerras,,490000,,,8150,"Urbano (solar)",,
910,Activa Norte Gestión Inmobiliaria,"Terreno en Barrio Viallan, Alfoz de Lloredo",Alfoz de Lloredo,Viallan,12500,966,"No urbanizable",,
911,E&F asesores,"Terreno en Sierrapando, Torrelavega",Torrelavega,Sierrapando,1052000,2784,"Urbano (solar)",,"Cuatro solares"
912,Activa Norte Gestión Inmobiliaria,"Terreno en Calle la Cuesta, Los Corrales de Buelna",Los Corrales de Buelna,,26000,4475,"No urbanizable",,
913,,"Terreno en Calle Alfonso Álvarez Miranda, Los Corrales de Buelna",Los Corrales de Buelna,Barros,180000,8731,"Urbano (solar)",3025501VN1932N0001EE,"Uso industrial"
914,,"Terreno en Villaescusa",Villaescusa,,105000,3000,"Urbano (solar)",,"Parte rústico"
915,,"Terreno en La Fuente, Cartes",Cartes,La Fuente,130000,2090,"Urbano (solar)",,"Parte rústico"
916,,"Terreno en Barrio Pontejos, Marina de Cudeyo",Marina de Cudeyo,Pontejos,186000,2000,"Urbano (solar)",,"Vistas al mar"
917,,"Terreno en Ribamontán al Monte",Ribamontán al Monte,Cubas,260000,9079,Urbanizable,,
918,Bankcasas.com,"Terreno en Reocín",Reocín,Helguera,339000,4933,"Urbano (solar)",,
919,Bankcasas.com,"Terreno en Reocín",Reocín,Valles,88400,2057,"Urbano (solar)",,
920,Inmobiliarias San Fernando,"Terreno en Cartes",Cartes,Santiago,45000,1800,"Urbano (solar)",,"Uso industrial"
921,Inmobiliarias San Fernando,"Terreno en Puente Viesgo",Puente Viesgo,,10500,5850,"No urbanizable",,
922,Activa Norte Gestión Inmobiliaria,"Terreno en Barrio Casar, Cabezón de la Sal",Cabezón de la Sal,Casar,58000,831,"Urbano (solar)",,
923,cadacasa,"Terreno en Marina de Cudeyo",Marina de Cudeyo,Gajano,140000,5069,Urbanizable,,
924,,"Terreno en Bareyo",Bareyo,,150000,4087,"Urbano (solar)",,"Vistas al mar"
925,,"Terreno en Marina de Cudeyo",Marina de Cudeyo,Gajano,1200,10,"No urbanizable",,"Proindiviso 37,75%"
926,Gestion inmobiliaria gumar,"Terreno en Alfoz de Lloredo",Alfoz de Lloredo,,230000,1732,"Urbano (solar)",,"Proyecto"
927,,"Terreno en Penagos",Penagos,,53000,4400,Urbanizable,,
928,,"Terreno en Calle Paco Gento, Guarnizo",Astillero,Guarnizo,1094587,3304,"Urbano (solar)",,"88 viviendas"
929,,"Terreno en Barrio Caranceja, Reocín",Reocín,Caranceja,205000,6486,"Urbano (solar)",5591054VN0959S0001UA,
930,,"Terreno en Calle la Fuente, Cartes",Cartes,,110000,1083,"Urbano (solar)",,
931,Oyambre Servicios Inmobiliarios,"Terreno en Puente San Miguel, Reocín",Reocín,Puente San Miguel,142500,833,"Urbano (solar)",,
932,,"Terreno en Santa María de Cayón",Santa María de Cayón,San Román,54000,1982,"No urbanizable",,
933,Inmobiliarias San Fernando,"Terreno en Reocín",Reocín,Golbardo,49000,7215,"No urbanizable",,
934,Bankcasas.com,"Terreno en Villaescusa",Villaescusa,Villanueva,349000,4912,"Urbano (solar)",,
935,Esparta Inmobiliaria,"Terreno en Galizano, Ribamontán al Mar",Ribamontán al Mar,Galizano,371000,3000,"Urbano (solar)",,
936,Gestion inmobiliaria gumar,"Terreno en Penagos",Penagos,,100000,5081,Urbanizable,,
937,,"Terreno en Calle José María Cabañas, Torrelavega",Torrelavega,Torres,269000,1305,"Urbano (solar)",,
938,Lamadrid Rodríguez,"Terreno en Barrio La Cotera, Mazcuerras",Mazcuerras,La Cotera,75000,2045,"Urbano (solar)",,
939,Gestion inmobiliaria gumar,"Terreno en Hoznayo",Entrambasaguas,Hoznayo,70000,11682,"No urbanizable",,
940,Inmobiliaria Cobo Mantecón,"Terreno en Castañeda",Castañeda,,60000,5400,Urbanizable,,
941,Inmoreco Torrelavega S.L,"Terreno en Alfoz de Lloredo",Alfoz de Lloredo,Novales,140000,4681,Urbanizable,,
942,,"Terreno en Marina de Cudeyo",Marina de Cudeyo,Pontejos,150000,3360,Urbanizable,,
943,Inmobiliaria Cobo Mantecón,"Terreno en Penagos",Penagos,Sobarzo,69000,1505,"Urbano (solar)",,
944,Colsol,"Terreno en Entrambasaguas",Entrambasaguas,La Sonada,45000,17705,"No urbanizable",,
945,,"Terreno en Marina de Cudeyo",Marina de Cudeyo,Pontejos,70000,1700,Urbanizable,,
946,,"Terreno en Carriazo, Ribamontán al Mar",Ribamontán al Mar,Carriazo,20000,6750,"No urbanizable",,
947,,"Terreno en Marina de Cudeyo",Marina de Cudeyo,Pontejos,200000,4468,Urbanizable,,
948,,"Terreno en Barrio la Quintana, Los Corrales de Buelna",Los Corrales de Buelna,,44392,958,"Urbano (solar)",3891508VN1839S0001BP,
949,,"Terreno en Puente Viesgo",Puente Viesgo,La Rotura,40000,4048,"No urbanizable",,
950,,"Terreno en Villaescusa",Villaescusa,Obregón,85000,5000,Urbanizable,,
951,Activa Norte Gestión Inmobiliaria,"Terreno en Medio Cudeyo",Medio Cudeyo,Heras,80000,626,Urbanizable,,
952,Activa Norte Gestión Inmobiliaria,"Terreno en Los Corrales de Buelna",Los Corrales de Buelna,La Contrina,20000,10214,"No urbanizable",,
953,,"Terreno en Calle la Fuente, Cartes",Cartes,,110000,1083,"Urbano (solar)",,"Duplicado"
954,,"Terreno en Calle Concha Espina, Cabezón de la Sal",Cabezón de la Sal,,75000,1140,"Urbano (solar)",,
955,,"Terreno en Entrambasaguas",Entrambasaguas,Padierne,120000,2500,Urbanizable,,
956,,"Terreno en Reocín",Reocín,Golbardo,81500,4493,"Urbano (solar)",,
957,,"Terreno en Entrambasaguas",Entrambasaguas,Padierne,100000,2073,"Urbano (solar)",3821432VP4032S0001ZQ,
958,,"Terreno en Santa María de Cayón",Santa María de Cayón,Sarón,124000,624,"Urbano (solar)",,
959,,"Terreno en Somo, Ribamontán al Mar",Ribamontán al Mar,Somo,650000,6000,Urbanizable,,
960,valnera proyectos,"Terreno en Centro, Torrelavega",Torrelavega,Centro,19000,113,Urbanizable,,"Proindiviso 40,12%"
961,Inmobiliaria Cobo Mantecón,"Terreno en Santa María de Cayón",Santa María de Cayón,Lloreda,29900,1895,Urbanizable,,
962,,"Terreno en Marina de Cudeyo",Marina de Cudeyo,Pontejos,55000,2367,Urbanizable,,
963,,"Terreno en Marina de Cudeyo",Marina de Cudeyo,Rubayo,88000,1742,Urbanizable,,
964,,"Terreno en Somo, Ribamontán al Mar",Ribamontán al Mar,Somo,590000,1339,"Urbano (solar)",,
965,,"Terreno en Loredo, Ribamontán al Mar",Ribamontán al Mar,Loredo,780000,14400,"No urbanizable",,
966,,"Terreno en Mazcuerras",Mazcuerras,Villanueva de la Peña,150000,1229,"Urbano (solar)",,
967,Lamadrid Rodríguez,"Terreno en Udías",Udías,La Hayuela,120000,2340,Urbanizable,,
968,,"Terreno en Avenida Santiago Galas, Cabezón de la Sal",Cabezón de la Sal,,254100,2613,"Urbano (solar)",,
969,,"Terreno en Alfoz de Lloredo",Alfoz de Lloredo,Oreña,155000,3100,Urbanizable,,
970,,"Terreno en Hoznayo",Entrambasaguas,Arral,75000,1139,"Urbano (solar)",,
971,,"Terreno en Lloredo de Rudagüera, Alfoz de Lloredo",Alfoz de Lloredo,Rudagüera,50000,1000,"Urbano (solar)",,
972,,"Terreno en Puente Viesgo",Puente Viesgo,,95000,37000,"No urbanizable",,
973,BEST HOUSE TORRELAVEGA,"Terreno en Campuzano, Torrelavega",Torrelavega,Campuzano,50000,451,"Urbano (solar)",,
974,Activa Norte Gestión Inmobiliaria,"Terreno en Santa María de Cayón",Santa María de Cayón,,18000,2237,"No urbanizable",,
975,Activa Norte Gestión Inmobiliaria,"Terreno en Castañeda",Castañeda,,29000,3344,"No urbanizable",,
976,,"Terreno en Marina de Cudeyo",Marina de Cudeyo,Rubayo,110000,2265,Urbanizable,,
977,,"Terreno en Marina de Cudeyo",Marina de Cudeyo,Pontejos,120000,544,"Urbano (solar)",,"Proyecto+licencia"
978,,"Terreno en Entrambasaguas",Entrambasaguas,La Herrería,36500,11361,"No urbanizable",,
979,,"Terreno en Marina de Cudeyo",Marina de Cudeyo,Gajano,130000,3114,Urbanizable,,
980,Activa Norte Gestión Inmobiliaria,"Terreno en Reocín",Reocín,Villapresente,148000,1496,"Urbano (solar)",,
981,,"Terreno en Torrelavega",Torrelavega,Ciudad Nueva,115000,4930,"Urbano (solar)",,
982,,"Terreno en Los Corrales de Buelna",Los Corrales de Buelna,Puente Ranero,35000,1106,"Urbano (solar)",,
983,,"Terreno en Penagos",Penagos,,500000,8410,"Urbano (solar)",,
984,,"Terreno en Puente Viesgo",Puente Viesgo,Quintana,25000,4242,"No urbanizable",,
985,,"Terreno en Udías",Udías,,6500,1035,"No urbanizable",,
986,,"Terreno en Reocín",Reocín,La Venta,230000,90000,"No urbanizable",,
987,,"Terreno en Villaescusa",Villaescusa,Obregón,240000,2000,"Urbano (solar)",,
988,,"Terreno en Los Corrales de Buelna",Los Corrales de Buelna,La Cuesta,75000,1020,"Urbano (no consolidado)",,
989,,"Terreno en Mazcuerras",Mazcuerras,Sierra Ibio,125000,26000,"No urbanizable",,
990,,"Terreno en Alfoz de Lloredo",Alfoz de Lloredo,Novales,80000,4000,"No urbanizable",,
991,,"Terreno en Bareyo",Bareyo,,126500,4614,Urbanizable,,
992,,"Terreno en Ribamontán al Monte",Ribamontán al Monte,Estradas,80000,1888,Urbanizable,,
993,,"Terreno en Alfoz de Lloredo",Alfoz de Lloredo,Cóbreces,400000,3607,"Urbano (solar)",,
